Trialno DesignType YearsAgo AttemptNo NoOfTaps Time Error
1 Old 1 1 11 13041 0
1 Old 2 2 22 8292 0
1 Old 1 3 7 3538 0
1 Old 2 4 21 9401 0
1 Old 1 5 9 6482 1
1 Old 2 6 23 8352 0
1 Old 1 7 12 4968 0
1 Old 2 8 20 8818 0
1 Old 2 9 22 8572 0
1 Old 1 10 12 7370 1


1 New 1 1 6 8181 0
1 New 2 2 3 7476 0
1 New 1 3 10 11389 0
1 New 2 4 4 9259 0
1 New 1 5 3 7687 1
1 New 2 6 6 10596 0
1 New 1 7 5 9401 1
1 New 2 8 11 12597 0
1 New 2 9 6 9868 0
1 New 1 10 4 9254 0


2 Old 4 1 47 14160 0
2 Old 3 2 35 11530 0
2 Old 3 3 31 8605 0
2 Old 4 4 45 14915 0
2 Old 3 5 33 16676 0
2 Old 4 6 46 12849 0
2 Old 3 7 36 10210 0
2 Old 4 8 44 12063 0
2 Old 3 9 35 11441 0
2 Old 4 10 48 14529 0


2 New 4 1 4 10062 0
2 New 3 2 5 8985 0
2 New 3 3 6 10130 0
2 New 4 4 6 11230 0
2 New 3 5 5 9822 0
2 New 4 6 7 11930 0
2 New 3 7 6 12221 0
2 New 4 8 7 10635 0
2 New 3 9 4 8196 0
2 New 4 10 5 14405 0


3 Old 6 1 72 16598 0
3 Old 5 2 58 13635 0
3 Old 6 3 67 22260 0
3 Old 5 4 57 15665 0
3 Old 5 5 57 16301 1
3 Old 6 6 70 21953 0
3 Old 6 7 72 20303 0
3 Old 5 8 58 22356 0
3 Old 6 9 67 17154 0
3 Old 5 10 57 19668 0


3 New 6 1 6 10769 0
3 New 5 2 5 9971 0
3 New 6 3 9 15982 2
3 New 5 4 6 12140 0
3 New 5 5 3 10934 0
3 New 6 6 5 12428 0
3 New 6 7 5 15006 0
3 New 5 8 5 11897 0
3 New 6 9 6 13720 0
3 New 5 10 4 12681 0
