Trialno DesignType YearsAgo AttemptNo NoOfTaps Time Error
1 Old 1 1 11 8599 0
1 Old 2 2 22 11413 0
1 Old 1 3 7 5657 0
1 Old 2 4 21 11762 0
1 Old 1 5 9 6530 0
1 Old 2 6 22 15089 0
1 Old 1 7 12 9095 0
1 Old 2 8 20 10600 0
1 Old 2 9 22 11851 0
1 Old 1 10 12 6413 0


1 New 1 1 7 17427 0
1 New 2 2 4 10309 0
1 New 1 3 6 9911 0
1 New 2 4 3 10245 0
1 New 1 5 3 9126 1
1 New 2 6 3 10401 0
1 New 1 7 5 9063 0
1 New 2 8 7 10645 0
1 New 2 9 4 10129 0
1 New 1 10 9 10206 0


2 Old 4 1 46 14819 0
2 Old 3 2 35 11268 0
2 Old 3 3 31 9274 1
2 Old 4 4 45 18671 0
2 Old 3 5 33 12731 0
2 Old 4 6 46 22644 0
2 Old 3 7 36 16865 0
2 Old 4 8 44 13161 0
2 Old 3 9 34 16995 0
2 Old 4 10 48 16716 0


2 New 4 1 7 14871 0
2 New 3 2 4 8922 0
2 New 3 3 6 9011 0
2 New 4 4 6 16088 0
2 New 3 5 3 10131 0
2 New 4 6 4 8355 0
2 New 3 7 4 9852 0
2 New 4 8 7 14119 0
2 New 3 9 7 13240 0
2 New 4 10 4 8944 0


3 Old 6 1 72 18537 0
3 Old 5 2 58 16289 0
3 Old 6 3 67 18353 0
3 Old 5 4 57 16810 0
3 Old 5 5 57 16203 0
3 Old 6 6 70 17649 0
3 Old 6 7 72 26307 0
3 Old 5 8 58 19226 0
3 Old 6 9 67 26265 0
3 Old 5 10 57 23887 0


3 New 6 1 5 11468 0
3 New 5 2 6 17677 0
3 New 6 3 8 12849 0
3 New 5 4 5 8692 0
3 New 5 5 4 11257 0
3 New 6 6 4 10780 0
3 New 6 7 6 11843 0
3 New 5 8 7 14391 0
3 New 6 9 10 13214 0
3 New 5 10 4 10859 0
